amzius,pajamos
25,23160
45,71924
24,71351
33,43206
29,21515
53,62884
35,72366
51,44028
29,33118
43,58460
33,32665
37,54376
29,31246
42,57429
24,67355
34,38207
53,57718
48,70142
36,57162
25,25950
42,33463
42,30284
22,60723
54,72445
37,51119
39,66822
40,38191
40,40359
46,21467
39,26692
50,25613
28,69242
20,21934
26,57248
46,22354
40,58490
38,46026
52,63328
28,43323
54,40614
18,49549
54,71803
25,49863
45,20736
46,20660
44,36557
36,20445
43,24496
45,46581
25,60186
19,61524
31,26291
49,29864
19,66304
40,33595
23,30294
23,27535
18,56654
40,21420
47,25618
26,71816
46,60769
31,50185
21,61338
40,31954
18,43756
46,31267
26,33212
48,58975
39,30414
21,34478
48,22115
45,62901
29,52114
29,74775
18,24524
26,71574
45,74909
44,36992
21,31947
22,36476
40,58899
18,36824
24,32491
37,29938
18,43567
46,64391
39,29062
38,23469
38,36205
26,22993
35,60714
53,40417
30,50406
49,67189
19,22899
21,59291
43,58665
41,59177
44,39837
